id: 4
threads:1 1
offset:5 7
id: 3
threads:0 1
offset:0 7
id: 11
threads:2 3
offset:10 0
id: 8
threads:2 2
offset:10 2
id: 1
threads:1 0
offset:5 12
id: 6
threads:0 2
offset:0 2
id: 10
threads:1 3
offset:5 0
id: 7
threads:1 2
offset:5 2
id: 5
threads:2 1
offset:10 7
id: 2
threads:2 0
offset:10 12
id: 9
threads:0 3
offset:0 0
id: 0
threads:0 0
offset:0 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
num threads: 12
thraedid: 9
thraedid: 8
thraedid: 2
thraedid: 6
thraedid: 10
thraedid: 4
thraedid: thraedid: 11
thraedid: 1
7
thraedid: 5
thraedid: 3
thraedid: 0
thraedid: thraedid: 411
thraedid: 3
thraedid: 0

thraedid: 2
thraedid: 7
thraedid: 5
thraedid: 6
thraedid: 1
thraedid: 10
thraedid: 9
thraedid: 8
thraedid: 4
thraedid: 11
thraedid: 5
thraedid: 9
thraedid: 8
thraedid: 1
thraedid: 6
thraedid: thraedid: 10
thraedid: thraedid: 0
thraedid: 7
3
2
A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A2A0A1A21.38016
1.38013
1.37988
1.37976
1.37986
1.38012
1.37997
1.37984
1.37997
1.38011
1.38018
1.37983
##################
-3.465 0.0197323
-3.46361 0.0193474
-3.46223 0.0189837
-3.46084 0.0186395
-3.45945 0.018313
-3.45807 0.0180027
-3.45668 0.0177073
-3.4553 0.0174257
-3.45391 0.0171569
-3.45252 0.0168998
-3.45114 0.0166537
-3.44975 0.0164178
-3.44836 0.0161914
-3.44698 0.0159738
-3.44559 0.0157646
-3.44421 0.0155632
-3.44282 0.015369
-3.44143 0.0151818
-3.44005 0.015001
-3.43866 0.0148264
-3.43727 0.0146575
-3.43589 0.0144941
-3.4345 0.0143359
-3.43312 0.0141825
-3.43173 0.0140339
-3.43034 0.0138896
-3.42896 0.0137495
